	L1_CD103	L2_CD103	L3_CD103	L1_DP	L2_DP	L3_DP	L1_DN	L2_DN	L3_DN	L1_CD49a	L2_CD49a	L3_CD49a
Ddx11	1233	1740	1190	1479	1438	990	1352	2093	1257	1505	1061	931
Ddx17	860	1007	1361	1256	808	527	1076	2263	719	1663	1073	1287
Ddx18	1934	2194	1944	1963	1803	1413	1859	2007	1769	1580	1843	1817
Ddx19a	565	537	431	553	539	414	682	1007	470	475	475	508
Ddx19b	617	767	785	1059	803	844	740	1072	674	778	723	850
Ddx20	1740	1440	1297	2565	1937	1623	1845	1323	1271	2312	1803	1548
Ddx21	4795	3901	4547	3599	3825	3416	3897	3647	3918	3980	4092	4424
Ddx23	602	441	647	391	393	451	394	362	493	498	365	350
Ddx24	12285	11812	13686	13498	12293	10182	12040	13042	10952	10721	11604	11478
Ddx25	7	15	14	1	2	0	26	2	2	1	3	0
Ddx27	4524	4531	4252	3906	3400	2657	4283	4157	3432	3391	3318	3388
